french,german
DS_IV,ES_IV
DateDeLivraison,Lieferdatum
DegreDeSensibiliteAuBruit_MN03_V1_1.MultilingualUri,Laermempfindlichkeitsstufen_LV03_V1_1.MultilingualUri
DispositionsJuridiques,Rechtsvorschriften
DegreDeSensibiliteAuBruit_MN03_V1_1.SurfacePartition,Laermempfindlichkeitsstufen_LV03_V1_1.Gebietseinteilung
Nom,Name
fr,de
DegreDeSensibiliteAuBruit_MN03_V1_1,Laermempfindlichkeitsstufen_LV03_V1_1
TexteEnLigne,TextImWeb
Symbole,Symbol
Donnees_orgResp,Datenbestand_zustStelle
DegreDeSensibiliteAuBruit_MN95_V1_1.ForceObligatoire,Laermempfindlichkeitsstufen_LV95_V1_1.Verbindlichkeit
publieDepuis,publiziertAb
"CHAdminCodes_V1,GeometryCHLV95_V1,InternationalCodes_V1","GeometryCHLV95_V1,CHAdminCodes_V1,InternationalCodes_V1"
DegreDeSensibiliteAuBruit_MN03_V1_1.DispositionsJuridiques,Laermempfindlichkeitsstufen_LV03_V1_1.Rechtsvorschriften
Commune,Gemeinde
DegreDeSensibiliteAuBruit_MN95_V1_1.DispositionsJuridiques,Laermempfindlichkeitsstufen_LV95_V1_1.Rechtsvorschriften
DegreDeSensibiliteAuBruit_MN03_V1_1.DispositionsJuridiques.Document,Laermempfindlichkeitsstufen_LV03_V1_1.Rechtsvorschriften.Dokument
En_vigueur,inKraft
Document,Hinweis
Type_Geometrie,Typ_Geometrie
GeodonneesDeBase,Geobasisdaten
Titre,Titel
GuichetEnLigne,AmtImWeb
StatutJuridique,Rechtsstatus
Origine,Ursprung
Zone_SensibiliteAuBruit,Laermempfindlichkeit_Zonenflaeche
DegreDeSensibiliteAuBruit_MN95_V1_1.SurfacePartition,Laermempfindlichkeitsstufen_LV95_V1_1.Gebietseinteilung
DS_I,ES_I
MetadonneesTransfer,TransferMetadaten
Remarques,Bemerkungen
Disposition,Vorschrift
DegreDeSensibiliteAuBruit_MN95_V1_1.StatutJuridique,Laermempfindlichkeitsstufen_LV95_V1_1.Rechtsstatus
autresDocuments,HinweisWeitereDokumente
DegreDeSensibiliteAuBruit_MN03_V1_1.DS,Laermempfindlichkeitsstufen_LV03_V1_1.ES
DS_II,ES_II
DegreDeSensibiliteAuBruit_MN95_V1_1.MultilingualUri,Laermempfindlichkeitsstufen_LV95_V1_1.MultilingualUri
DegreDeSensibiliteAuBruit_MN95_V1_1.LocalisedUri,Laermempfindlichkeitsstufen_LV95_V1_1.LocalisedUri
Type_Document,Typ_Dokument
Degre,Empfindlichkeitsstufe
Contenu_dAideALaMiseEnOeuvre,wegleitend
En_cours_modification,laufendeAenderungen
Declassement,Aufgestuft
OrganismeResponsable,zustaendigeStelle
DegreDeSensibiliteAuBruit_MN03_V1_1.LocalisedUri,Laermempfindlichkeitsstufen_LV03_V1_1.LocalisedUri
DS,ES
DegreDeSensibiliteAuBruit_MN95_V1_1.DS,Laermempfindlichkeitsstufen_LV95_V1_1.ES
DegreDeSensibiliteAuBruit_MN03_V1_1.ForceObligatoire,Laermempfindlichkeitsstufen_LV03_V1_1.Verbindlichkeit
DegreDeSensibiliteAuBruit_MN03_V1_1.GeodonneesDeBase,Laermempfindlichkeitsstufen_LV03_V1_1.Geobasisdaten
Contenu_contraignant,Nutzungsplanfestlegung
TitreOfficiel,OffiziellerTitel
Canton,Kanton
Designation,Bezeichnung
Version,Stand
NoOfficiel,OffizielleNr
DegreDeSensibiliteAuBruit_MN95_V1_1,Laermempfindlichkeitsstufen_LV95_V1_1
Contenu_indicatif,hinweisend
IDE,UID
Aucun_DS,Keine_ES
DegreDeSensibiliteAuBruit_MN95_V1_1.DispositionsJuridiques.Document,Laermempfindlichkeitsstufen_LV95_V1_1.Rechtsvorschriften.Dokument
Contenu_informatif,orientierend
DegreDeSensibiliteAuBruit_MN03_V1_1.StatutJuridique,Laermempfindlichkeitsstufen_LV03_V1_1.Rechtsstatus
Abreviation,Abkuerzung
SurfacePartition,Gebietseinteilung
DS_III,ES_III
JeuDeDonnees,Datenbestand
DispositionJuridique,Rechtsvorschrift
publieeDepuis,publiziertAb
Type,Typ
ForceObligatoire,Verbindlichkeit
Document,Dokument
DegreDeSensibiliteAuBruit_MN95_V1_1.GeodonneesDeBase,Laermempfindlichkeitsstufen_LV95_V1_1.Geobasisdaten
Office,Amt
