french,german
Zones_reservees_V1_1.StatutJuridique,Planungszonen_V1_1.RechtsStatus
Contenu_informatif,orientierend
NPA,PLZ
Zones_reservees_V1_1.DispositionNiveau,Planungszonen_V1_1.Festlegung_Stufe
Remarques,Bemerkungen
DegreDeSensibiliteAuBruit_V1_2.LocalisedBlob,Laermempfindlichkeitsstufen_V1_2.LocalisedBlob
TypeZR,TypPZ
MetadonneesTransfert,TransferMetadaten
"PlansDAffectation_V1_2.Catalogue_CH,PlansDAffectation_V1_2.DispositionsJuridiques","Nutzungsplanung_V1_2.Catalogue_CH,Nutzungsplanung_V1_2.Rechtsvorschriften"
Canton,Gemeinde
DS_III,ES_III
publieJusquA,publiziertBis
Zones_reservees_V1_1.LocalisedUri,Planungszonen_V1_1.LocalisedUri
SurfaceUnique,Einzelflaeche
propre_a_la_construction_au_dela_5_ans,laengerfristig_baureif
Type_Document,Typ_Dokument
TypeDocument,DokumentTyp
PlansDAffectation_V1_2.SurfacePartition,Nutzungsplanung_V1_2.Gebietseinteilung
DistancesParRapportALaForet_V1_2.LocalisedBlob,Waldabstandslinien_V1_2.LocalisedBlob
LimitesDeLaForet_V1_2.MultilingualUri,Waldgrenzen_V1_2.MultilingualUri
DegreDeSensibiliteAuBruit_V1_2.StatutJuridique,Laermempfindlichkeitsstufen_V1_2.RechtsStatus
Declassement,Aufgestuft
Contenu_indicatif,hinweisend
Disposition,Dokument
SurfacePartition,Gebietseinteilung
publieJusque,publiziertBis
Service,Amt
DistancesParRapportALaForet_V1_2.LocalisedUri,Waldabstandslinien_V1_2.LocalisedUri
ServiceSurInternet,AmtImWeb
StatutJuridique,Rechtsstatus
PlansDAffectation_V1_2.StatutJuridique,Nutzungsplanung_V1_2.RechtsStatus
Aptitude_Construction,Stand_Baureife
Type_Type_Ct,Typ_Typ_Kt
EchelonnementDeLEquipement,Erschliessungsetappierung
DegreDeSensibiliteAuBruit_V1_2.DispositionsJuridiques,Laermempfindlichkeitsstufen_V1_2.Rechtsvorschriften
autres,Kanton
MetadonneesTransfer,TransferMetadaten
non_construit,nicht_ueberbaut
DegreDeSensibiliteAuBruit_V1_2.LocalisedUri,Laermempfindlichkeitsstufen_V1_2.LocalisedUri
basketRef=Zones_reservees_V1_1.Geobasisdaten,basketRef=Planungszonen_V1_1.Geobasisdaten
DistancesParRapportALaForet_V1_2.DispositionsJuridiques.Document,Waldabstandslinien_V1_2.Rechtsvorschriften.Dokument
DistanceParRapportALaForet_Ligne,Waldabstand_Linie
enVigueur,inKraft
PlansDAffectation_V1_2.ForceObligatoire,Nutzungsplanung_V1_2.Verbindlichkeit
Commune,andere
SeulementCommune,NurInGemeinde
ArretDeLEquipement,Erschliessungsstopp
Document,Dokument
non_equipe,nicht_erschlossen
fr,de
Contenu_dAideALaMiseEnOeuvre,wegleitend
Zones_reservees_V1_1.MultilingualBlob,Planungszonen_V1_1.MultilingualBlob
Etat_de_l_equipement_MN95_V1,Stand_der_Erschliessung_LV95_V1
DistancesParRapportALaForet_V1_2.MultilingualUri,Waldabstandslinien_V1_2.MultilingualUri
Contenu_informatif,Orientierend
PlansDAffectation_V1_2.LocalisedUri,Nutzungsplanung_V1_2.LocalisedUri
Office,Amt
basketRef=LimitesDeLaForet_V1_2.GeodonneesDeBase,basketRef=Waldgrenzen_V1_2.Geobasisdaten
ContenuLineaire,Linienbezogene_Festlegung
Zones_reservees_V1_1.DispositionsJuridiques.Document,Planungszonen_V1_1.Rechtsvorschriften.Dokument
TypeZR_ZoneReservee,TypPZ_Planungszone
Etat_de_l_equipement_MN95_V1.LocalisedUri,Stand_der_Erschliessung_LV95_V1.LocalisedUri
DF,WAL
furtherInformation=https://www.are.admin.ch/mmg,furtherInformation=https://www.are.admin.ch/mgm
Zones_reservees_V1_1,Planungszonen_V1_1
DegreDeSensibiliteAuBruit_V1_2.TypeDocument,Laermempfindlichkeitsstufen_V1_2.DokumentTyp
Type_Geometrie,Typ_Geometrie
IDE,UID
Genre_LimiteForestiere,Art_Waldgrenze
BaseLegale,GesetzlicheGrundlage
IndexExtrait,AuszugIndex
Designation,Bezeichnung
dans_zones_a_batir,in_Bauzonen
LimitesDeLaForet_V1_2.TypeDocument,Waldgrenzen_V1_2.DokumentTyp
Donnees_orgResp,Datenbestand_zustStelle
Etat_de_l_equipement_MN03_V1.LocalisedUri,Stand_der_Erschliessung_LV03_V1.LocalisedUri
PlansDAffectation_V1_2.Catalogue_CH,Nutzungsplanung_V1_2.Catalogue_CH
DispositionNiveau,Festlegung_Stufe
Genre,Art
DistancesParRapportALaForet_V1_2.DispositionsJuridiques,Waldabstandslinien_V1_2.Rechtsvorschriften
StatutJuridique,RechtsStatus
DegreDeSensibiliteAuBruit_V1_2.MultilingualBlob,Laermempfindlichkeitsstufen_V1_2.MultilingualBlob
hors_zones_a_batir,ausserhalb_Bauzonen
Version,Stand
